id,beasley,budd,bray,hoh,write-in,under
01-01,1064,202,17,14,0,3
01-02,1035,229,21,8,0,6
01-03,911,623,21,11,0,3
01-04,521,321,10,4,0,2
01-05,547,373,8,3,0,2
01-06,1498,376,28,24,2,5
01-07,1415,343,22,19,2,5
01-07A,99,26,4,3,0,1
01-09,760,178,12,2,2,0
01-10,859,373,9,4,0,4
01-11,1035,938,18,6,1,22
01-12,969,408,23,5,0,1
01-13,1039,157,12,12,1,1
01-14,2256,339,32,21,1,1
01-15,1033,582,26,10,0,8
01-16,1388,519,16,17,0,6
01-17,459,351,13,7,0,2
01-18,1082,546,27,19,2,10
01-19,769,38,7,7,0,0
01-20,1410,117,22,16,0,5
01-21,1747,492,39,22,1,1
01-22,1869,77,14,18,2,5
01-23,1677,321,32,52,0,2
01-25,224,23,10,6,0,0
01-26,1071,79,16,8,1,3
01-27,1225,171,18,17,1,6
01-28,2164,286,32,25,2,4
01-29,1087,722,23,9,2,14
01-30,682,363,19,7,0,2
01-31,1183,222,21,38,2,6
01-32,1066,315,21,21,0,3
01-33,959,414,10,10,3,7
01-34,746,35,12,5,0,1
01-35,980,45,15,11,1,5
01-36,1034,756,21,6,4,4
01-37,843,496,20,8,0,2
01-38,927,347,21,8,1,5
01-39,1103,424,29,25,2,4
01-40,1780,117,22,15,1,3
01-41,1055,243,15,23,2,2
01-42,1022,932,27,15,0,4
01-43,900,396,30,11,0,4
01-44,1540,596,37,17,1,3
01-45,682,405,19,13,0,2
01-46,867,169,22,18,0,1
01-47,896,673,25,8,2,3
01-48,1211,259,18,19,0,4
01-49,1083,281,29,25,1,3
01-50,1391,83,18,15,0,3
01-51,495,286,13,5,1,3
02-01,1311,1079,32,10,3,6
02-02,2223,2174,42,21,4,8
02-03,1047,1151,37,10,3,7
02-04,906,977,22,10,2,1
02-05,444,375,11,2,1,1
02-06,914,1004,30,8,3,3
03-00,2820,1983,71,39,3,4
04-01,1016,436,37,12,1,8
04-02,1118,543,25,30,1,5
04-03,815,379,16,14,1,2
04-04,619,341,24,13,0,2
04-05,1750,800,38,34,1,7
04-06,1477,747,30,20,2,5
04-07,1117,1000,15,13,0,7
04-08,1198,423,25,18,0,2
04-09,1050,655,15,12,0,5
04-10,1246,632,37,15,4,9
04-11,699,265,10,13,0,4
04-12,1334,703,33,20,2,3
04-13,2117,1071,49,38,1,7
04-14,802,403,27,7,2,7
04-15,1144,556,24,22,0,12
04-16,1017,392,32,20,0,6
04-17,865,321,27,13,0,2
04-18,1280,515,21,12,3,3
04-19,884,410,22,14,1,2
04-20,1362,564,19,23,1,10
04-21,674,240,19,16,0,1
05-01,1579,880,36,30,1,3
05-03,1666,966,36,14,0,5
05-05,2734,1195,64,46,2,4
05-06,2284,1181,38,27,0,4
05-07,3077,1069,52,39,0,5
05-08,1753,585,40,19,0,6
06-04,1549,965,56,36,2,5
06-05,1085,1214,46,9,2,12
06-06,2477,1701,81,37,3,6
06-07,1344,953,36,25,1,7
06-08,893,554,30,7,1,2
06-09,2887,2447,86,46,3,15
06-10,1577,1445,49,26,4,9
07-01,769,316,26,11,0,4
07-02,715,407,22,13,0,3
07-03,806,415,7,10,0,2
07-04,1781,689,63,42,2,3
07-05,818,395,18,8,0,2
07-06,1632,1072,44,27,3,9
07-07,1546,873,33,14,3,5
07-07A,319,150,3,4,1,5
07-09,1376,631,32,35,2,7
07-10,2159,871,46,33,1,8
07-11,571,332,15,6,0,4
07-12,1162,523,34,16,3,5
07-13,993,512,28,15,1,4
08-02,1816,1018,42,20,2,10
08-03,2151,1111,49,28,3,10
08-04,748,660,18,9,0,5
08-05,965,618,28,10,1,6
08-06,862,269,15,15,1,2
08-07,1041,906,32,19,3,7
08-08,1897,1141,51,22,1,10
08-09,872,429,33,13,0,4
08-10,1193,568,17,17,0,5
08-11,1660,827,41,28,0,3
09-01,603,837,17,12,1,1
09-02,1022,679,28,10,2,6
09-03,1295,1182,32,10,0,7
10-01,253,534,15,8,0,2
10-02,1115,975,37,11,2,3
10-03,893,690,28,19,1,5
10-05,1270,1136,35,28,3,6
10-06,2206,1080,52,32,0,6
11-01,2132,858,50,39,0,3
11-02,1914,980,30,19,2,5
12-01,2017,2449,70,30,2,15
12-02,1798,1462,71,40,1,8
12-04,1416,2072,64,27,4,8
12-06,1726,1716,44,23,3,9
12-07,942,1091,23,23,2,5
12-08,1697,1347,60,31,3,6
12-09,1652,1950,51,21,5,5
12-10,1899,1532,61,40,3,4
12-11,1045,1175,36,14,0,7
13-01,2197,572,33,25,4,5
13-02,834,551,21,9,1,8
13-05,791,233,23,11,2,5
13-06,1234,707,31,21,0,8
13-07,940,342,19,20,1,1
13-08,1138,256,18,16,1,5
13-09,1846,508,35,36,2,5
13-10,2453,1499,67,36,3,9
13-11,1327,952,27,10,3,4
14-01,206,381,8,1,0,3
14-02,2110,2970,72,31,5,9
15-01,1242,1578,43,27,0,16
15-02,1950,1789,63,29,2,9
15-03,1428,2099,62,26,0,9
15-04,758,862,32,14,0,6
16-01,792,727,31,16,0,4
16-02,1960,419,38,35,2,5
16-03,567,339,15,13,0,4
16-04,1141,834,18,23,2,6
16-05,822,694,25,14,0,5
16-06,531,249,14,4,0,11
16-07,1453,919,37,17,2,9
16-09,1824,963,54,36,2,11
16-10,2076,321,20,26,1,3
16-11,1571,425,21,22,1,6
17-01,1054,362,27,14,2,1
17-02,623,428,16,9,1,8
17-03,2748,959,42,45,1,12
17-04,2546,1158,44,31,0,4
17-05,1612,571,19,25,0,7
17-06,720,664,20,9,0,9
17-07,1694,276,17,21,0,7
17-09,1658,178,34,26,0,4
17-10,452,225,8,17,2,4
17-11,1784,529,29,24,1,7
17-12,1377,410,24,19,2,9
17-13,2079,988,51,20,2,10
18-01,1788,396,44,52,4,3
18-02,1744,1818,52,22,1,11
18-03,1073,620,14,10,1,2
18-04,1602,1401,42,18,2,10
18-05,2252,1559,49,29,1,3
18-06,1683,563,39,29,0,7
18-07,1218,1416,48,19,4,5
18-08,1758,969,34,21,0,4
19-03,1023,895,34,26,3,4
19-05,1073,1310,30,9,1,2
19-07,1866,1586,55,34,3,15
19-09,1352,1731,34,28,0,10
19-11,1218,947,30,26,1,11
19-12,2398,2021,68,37,7,8
19-13,805,474,22,12,1,7
19-14,1005,798,29,17,2,1
19-15,1013,857,21,14,1,4
19-16,934,768,18,16,1,4
19-17,2190,905,47,22,3,6
19-18,1218,1014,34,27,1,1
19-19,2349,2336,59,35,1,12
19-20,1280,1118,28,18,0,7
19-21,1948,1249,42,19,0,6
20-01,1433,821,31,24,0,6
20-03,1857,1122,42,25,2,7
20-04,1566,756,37,28,2,7
20-05,1791,1253,37,11,2,8
20-06A,2101,1181,54,46,2,5
20-06B,1560,950,52,20,1,4
20-08,1934,1257,64,37,2,7
20-09,1248,741,36,13,1,4
20-10,1526,686,26,13,2,3
20-11,2374,1413,66,44,3,8
20-12,2419,1352,54,21,1,5
20-14,2996,1423,62,40,0,9
20-15,1936,698,32,31,3,7
20-16,1738,672,33,25,1,3
20-17,2009,966,40,23,1,8
