id,No,Yes,over,under
04-01,743,1086,0,92
04-02,1091,1335,1,109
04-03,713,935,3,71
04-04,656,945,1,74
04-05,845,916,1,66
04-06,1243,1412,2,132
04-07,1398,1093,1,101
04-08,1001,1152,2,100
04-09,1294,1106,1,120
04-10,1181,1233,3,101
04-11,596,705,1,62
04-12,1230,1209,0,91
04-13,2063,2009,0,148
04-14,711,766,1,51
04-15,1059,1076,1,99
04-16,831,974,4,83
04-17,652,766,0,62
04-18,1062,1308,1,114
04-19,761,815,0,38
04-20,1173,1392,4,125
04-21,582,841,2,67
05-01,911,641,1,84
05-03,794,700,1,72
05-05,3,0,0,3
05-06,2463,1960,4,212
05-07,1244,1201,1,166
05-08,54,81,0,5
06-07,745,670,0,91
12-10,692,520,2,58
18-02,679,499,1,62
18-03,1013,1002,1,95
18-05,1914,1655,2,142
18-08,1589,1790,0,145
20-04,1552,1340,2,102
20-05,1917,1460,0,155
20-10,1523,1272,3,99
20-14,3801,2567,4,289
20-15,2156,1985,1,183
20-16,1965,1965,1,182
20-17,2622,1801,3,211
