id,Bob Drach,Dave Boliek,Jessica Holmes,over,under
01-01,55,357,1252,1,63
01-02,54,380,1159,0,46
01-03,44,841,1059,0,62
01-04,25,382,552,0,30
01-05,23,492,521,0,55
01-06,82,530,1810,1,83
01-07,118,624,1800,0,86
01-07A,6,36,148,0,7
01-09,36,269,794,0,40
01-10,37,558,817,0,52
01-11,50,1334,1091,0,91
01-12,54,597,1044,0,65
01-13,56,219,1184,0,45
01-14,84,535,2661,0,108
01-15,77,994,1468,1,121
01-16,70,800,1764,0,85
01-17,28,451,469,1,50
01-18,55,776,1375,1,48
01-19,25,63,1138,1,24
01-20,76,209,1756,1,68
01-21,140,781,2508,0,103
01-22,55,204,2666,0,50
01-23,170,983,3233,4,285
01-25,15,51,444,0,10
01-26,42,132,1517,1,41
01-27,57,311,1590,0,56
01-28,104,464,2772,2,79
01-29,47,976,1069,0,66
01-30,40,460,626,0,57
01-31,131,496,1825,0,78
01-32,91,499,1514,0,72
01-33,42,593,1032,1,70
01-34,33,97,1031,0,26
01-35,34,109,1447,0,33
01-36,61,1084,1125,0,97
01-37,59,651,923,0,68
01-38,72,464,1304,1,70
01-39,77,583,1391,1,78
01-40,71,263,2726,1,48
01-41,71,337,1311,2,45
01-42,69,1215,1214,1,102
01-43,72,574,1299,0,65
01-44,93,794,1996,1,96
01-45,68,523,881,1,50
01-46,51,269,1471,2,80
01-47,64,876,972,0,56
01-48,81,404,1383,0,45
01-49,110,523,1778,0,81
01-50,62,221,2019,0,49
01-51,27,358,547,1,32
02-01,90,1334,1483,1,79
02-02,200,2804,2661,3,161
02-03,101,1379,1213,1,67
02-04,83,1196,967,0,70
02-05,21,462,507,1,22
02-06,67,1296,1054,0,82
03-01,163,1815,2552,0,159
03-02,105,1205,1409,0,92
04-01,57,610,1195,0,61
04-02,77,807,1575,0,77
04-03,52,530,1089,0,51
04-04,57,511,1063,0,45
04-05,112,1086,2043,0,92
04-06,67,949,1693,0,80
04-07,52,1274,1185,0,82
04-08,86,588,1519,1,74
04-09,71,936,1420,1,93
04-10,67,834,1555,0,62
04-11,53,381,883,0,47
04-12,84,850,1517,2,79
04-13,141,1453,2671,1,136
04-14,77,502,926,0,24
04-15,92,689,1384,0,72
04-16,73,526,1236,0,57
04-17,61,427,1026,0,46
04-18,92,723,1585,0,85
04-19,79,485,995,0,54
04-20,98,779,1739,0,78
04-21,65,350,1035,0,43
05-01,125,1147,2036,0,114
05-03,103,1376,2175,1,131
05-05,245,1754,4113,1,175
05-06,165,1629,2820,0,183
05-07,263,1965,4624,1,168
05-08,149,1021,2803,0,107
06-04,181,1394,2098,0,122
06-05,105,1504,1255,1,91
06-06,266,2358,3148,4,172
06-07,133,1227,1741,0,112
06-08,85,758,1175,0,58
06-10,189,2257,2543,0,173
06-11,42,466,644,0,33
06-12,212,3112,3309,2,242
07-01,66,453,1044,0,44
07-02,49,516,811,0,68
07-03,57,533,817,1,48
07-04,162,969,2202,1,117
07-05,60,516,1003,0,43
07-06,125,1310,1830,1,99
07-07,120,1172,1854,0,98
07-07A,5,189,330,0,38
07-09,108,950,1685,0,93
07-10,204,1304,2916,2,140
07-11,33,398,611,0,37
07-12,98,718,1460,2,74
07-13,80,676,1245,0,56
08-02,144,1300,2169,0,134
08-03,263,1720,3190,0,198
08-04,90,771,809,0,41
08-05,75,770,1088,0,52
08-06,107,363,1192,0,56
08-07,116,1108,1139,1,67
08-08,170,1526,2200,2,139
08-09,104,549,1042,0,46
08-10,106,803,1515,0,92
08-11,153,1228,2197,1,156
09-01,56,1128,871,0,48
09-02,91,1040,1975,2,88
09-03,131,1991,2651,1,125
10-01,25,691,409,1,35
10-02,101,1509,2024,2,88
10-03,96,1098,1589,1,70
10-05,131,1589,1842,0,80
10-06,197,1944,3597,3,175
11-01,211,1529,3169,1,203
11-02,128,1446,2543,0,150
12-01,245,3328,2683,3,225
12-02,224,2214,2838,2,144
12-04,224,2929,2094,1,161
12-06,182,2795,2904,1,225
12-07,150,1489,1302,0,83
12-08,193,2006,2492,1,159
12-09,205,2631,2334,0,184
12-10,187,2107,2263,4,147
12-11,142,1571,1457,0,108
13-01,202,1132,3835,1,142
13-02,74,705,993,0,60
13-05,57,416,1414,1,54
13-06,93,982,1516,1,84
13-07,71,507,1424,0,59
13-08,76,487,2074,0,80
13-09,111,827,2829,3,95
13-10,191,2068,3019,1,200
13-11,88,1217,1609,2,114
14-01,32,490,256,1,20
14-02,383,4057,2845,2,199
15-01,152,1923,1698,0,116
15-02,178,2445,2760,3,159
15-03,178,2645,1972,0,121
15-04,98,1046,914,0,54
16-01,118,1146,1587,0,90
16-02,131,759,3273,1,93
16-03,43,398,794,0,40
16-04,62,1037,1493,0,59
16-05,79,863,1243,0,54
16-06,38,305,711,2,34
16-07,102,1136,1786,0,91
16-09,158,1502,2910,0,124
16-10,85,521,3362,1,75
16-11,121,790,3082,0,103
17-01,63,543,1563,2,77
17-02,66,668,1105,1,53
17-03,200,1486,3935,0,167
17-05,100,901,2335,1,83
17-06,64,840,1129,0,71
17-07,91,499,2439,2,69
17-09,98,340,2607,0,61
17-10,30,309,673,1,42
17-11,123,935,2802,2,112
17-12,88,699,2132,1,73
17-13,159,1383,3019,5,125
17-14,136,1211,3069,1,91
17-15,72,747,1425,2,63
18-01,175,782,2771,0,134
18-02,174,2211,2098,1,158
18-03,58,767,1233,0,53
18-04,171,1832,2017,0,108
18-05,147,1967,2619,3,137
18-06,158,886,2312,0,113
18-07,159,1804,1620,3,99
18-08,128,1316,2268,0,113
19-03,175,1338,1544,2,97
19-05,162,1674,1340,0,94
19-07,252,2100,2451,4,177
19-09,194,2428,2218,0,148
19-11,154,1316,1599,0,111
19-13,77,697,1069,0,64
19-14,115,1118,1401,1,88
19-15,119,1197,1344,0,68
19-16,77,1061,1353,1,63
19-17,162,1317,3161,1,135
19-18,175,1601,1955,1,106
19-19,280,3374,3169,1,217
19-20,119,1533,1730,1,93
19-21,162,1786,2696,5,132
19-22,125,1343,1483,0,95
19-23,230,1814,2481,1,143
20-01,134,1164,1975,0,104
20-03,155,1548,2343,0,147
20-04,109,1022,2019,0,100
20-05,130,1603,2114,2,136
20-06A,192,1631,2861,2,166
20-06B,145,1218,1865,0,120
20-08,198,1727,2502,0,163
20-09,88,974,1459,0,84
20-10,93,887,1839,0,94
20-11,199,2139,3248,0,191
20-12,197,2085,3404,0,160
20-14,242,2270,4267,2,188
20-15,130,1196,2897,0,138
20-16,138,1118,2745,0,126
20-17,119,1481,2919,0,154
