id,Braxton Winston II,Luke Farley,over,under
01-01,1250,404,1,73
01-02,1151,427,1,60
01-03,1019,898,0,89
01-04,524,423,1,41
01-05,524,505,0,62
01-06,1826,579,0,101
01-07,1808,713,2,105
01-07A,145,44,0,10
01-09,795,301,0,44
01-10,831,577,0,56
01-11,1048,1407,1,110
01-12,1022,671,1,66
01-13,1172,274,0,58
01-14,2636,626,1,125
01-15,1437,1066,1,157
01-16,1739,868,0,112
01-17,466,478,0,55
01-18,1359,828,1,67
01-19,1140,86,0,25
01-20,1760,276,1,73
01-21,2499,907,1,125
01-22,2646,251,3,75
01-23,3196,1162,5,312
01-25,435,72,0,13
01-26,1507,173,0,53
01-27,1592,360,0,62
01-28,2750,570,0,101
01-29,1038,1029,1,90
01-30,620,496,0,65
01-31,1828,592,0,110
01-32,1488,602,1,85
01-33,1007,648,0,83
01-34,1031,122,0,34
01-35,1447,137,1,38
01-36,1097,1164,0,106
01-37,904,707,2,88
01-38,1302,523,0,86
01-39,1375,650,1,104
01-40,2724,315,2,68
01-41,1303,401,0,62
01-42,1201,1277,0,123
01-43,1301,622,1,86
01-44,1992,865,1,122
01-45,889,575,0,59
01-46,1463,308,2,100
01-47,969,925,3,73
01-48,1368,484,1,60
01-49,1767,622,0,103
01-50,2001,280,4,66
01-51,532,391,0,42
02-01,1447,1425,3,112
02-02,2565,3065,4,195
02-03,1161,1514,0,86
02-04,952,1278,1,85
02-05,502,487,0,24
02-06,1021,1373,0,105
03-01,2497,1986,2,204
03-02,1367,1335,2,107
04-01,1183,664,1,75
04-02,1576,863,2,95
04-03,1075,580,2,65
04-04,1060,560,0,56
04-05,1933,1273,3,124
04-06,1669,1015,3,102
04-07,1153,1346,0,94
04-08,1480,700,0,88
04-09,1390,1025,1,105
04-10,1523,912,0,83
04-11,889,424,0,51
04-12,1488,956,0,86
04-13,2620,1606,2,174
04-14,949,543,2,35
04-15,1357,792,1,87
04-16,1236,578,0,78
04-17,1009,490,1,60
04-18,1596,793,1,95
04-19,994,559,0,62
04-20,1718,875,1,100
04-21,1028,420,0,45
05-01,2009,1272,2,139
05-03,2133,1491,1,161
05-05,4084,1973,2,229
05-06,2774,1805,1,217
05-07,4487,2315,4,215
05-08,2772,1169,1,138
06-04,2095,1556,5,139
06-05,1204,1647,1,104
06-06,3078,2636,6,228
06-07,1708,1371,0,134
06-08,1144,854,0,78
06-10,2487,2469,2,204
06-11,622,514,0,52
06-12,3213,3363,3,298
07-01,1042,511,0,54
07-02,807,562,2,73
07-03,794,595,3,63
07-04,2207,1100,2,142
07-05,994,568,0,60
07-06,1763,1463,1,136
07-07,1835,1290,1,118
07-07A,336,183,0,43
07-09,1704,1023,0,109
07-10,2869,1509,1,187
07-11,612,418,0,49
