id,Chris Freeman,Martin E. Moore,over,under
01-01,353,1293,0,82
01-02,381,1194,0,64
01-03,801,1123,0,82
01-04,377,578,1,33
01-05,454,565,0,72
01-06,518,1893,1,94
01-07,642,1884,0,102
01-07A,43,147,0,10
01-09,257,839,1,43
01-10,494,912,0,59
01-11,1266,1174,1,125
01-12,584,1102,0,74
01-13,221,1222,0,61
01-14,535,2739,0,114
01-15,989,1517,1,154
01-16,769,1824,0,126
01-17,446,505,0,48
01-18,757,1416,1,81
01-19,70,1151,0,30
01-20,226,1812,0,72
01-21,857,2546,1,128
01-22,228,2673,0,74
01-23,1069,3270,4,332
01-25,68,439,1,12
01-26,152,1530,0,51
01-27,302,1654,1,57
01-28,495,2822,0,104
01-29,924,1152,1,81
01-30,427,691,0,63
01-31,562,1862,1,105
01-32,546,1554,0,76
01-33,572,1083,0,83
01-34,109,1045,0,33
01-35,126,1449,1,47
01-36,1067,1194,0,106
01-37,654,964,0,83
01-38,502,1328,0,81
01-39,605,1436,0,89
01-40,288,2755,0,66
01-41,367,1338,0,61
01-42,1192,1280,1,128
01-43,602,1330,0,78
01-44,815,2052,1,112
01-45,555,914,0,54
01-46,302,1485,0,86
01-47,875,1022,2,71
01-48,415,1442,0,56
01-49,572,1810,0,110
01-50,266,2031,0,54
01-51,366,557,1,41
02-01,1353,1517,2,115
02-02,2877,2758,2,192
02-03,1420,1248,2,91
02-04,1220,1015,0,81
02-05,453,524,0,36
02-06,1317,1086,1,95
03-01,1874,2620,0,195
03-02,1253,1445,1,112
04-01,626,1226,0,71
04-02,802,1640,0,94
04-03,562,1106,0,54
04-04,537,1088,0,51
04-05,1128,2070,1,134
04-06,973,1714,0,102
04-07,1252,1249,1,91
04-08,646,1538,0,84
04-09,937,1469,1,114
04-10,853,1575,0,90
04-11,390,922,0,52
04-12,862,1566,0,102
04-13,1505,2733,1,163
04-14,528,964,0,37
04-15,740,1408,0,89
04-16,528,1284,0,80
04-17,440,1055,0,65
04-18,731,1636,0,118
04-19,528,1032,0,53
04-20,810,1785,0,99
04-21,397,1050,1,45
05-01,1216,2078,0,128
05-03,1418,2205,3,160
05-05,1834,4249,2,203
05-06,1652,2935,1,209
05-07,2056,4751,2,212
05-08,1059,2905,0,116
06-04,1499,2153,1,142
06-05,1567,1279,0,110
06-06,2481,3225,4,238
06-07,1308,1770,2,133
06-08,813,1177,0,86
06-10,2386,2587,2,187
06-11,478,661,0,49
06-12,3199,3381,1,296
07-01,476,1069,1,61
07-02,521,845,1,77
07-03,549,838,0,68
07-04,1025,2277,1,148
07-05,537,1020,1,64
07-06,1358,1860,0,145
07-07,1203,1915,0,126
07-07A,169,352,0,41
07-09,950,1769,0,117
07-10,1353,3029,0,184
07-11,393,637,0,49
07-12,737,1520,0,95
07-13,688,1294,0,75
08-02,1343,2258,0,146
08-03,1843,3307,0,221
08-04,815,843,1,52
08-05,783,1125,0,77
08-06,382,1265,0,71
08-07,1146,1188,0,97
08-08,1626,2242,0,169
08-09,598,1076,0,70
08-10,841,1570,0,105
08-11,1284,2254,1,196
09-01,1175,865,1,62
09-02,1079,1994,1,122
09-03,2093,2670,0,136
10-01,712,405,0,44
10-02,1580,2026,3,115
10-03,1161,1605,1,87
10-05,1652,1890,1,99
10-06,2020,3713,0,183
11-01,1632,3247,2,232
11-02,1418,2660,1,188
12-01,3482,2751,1,250
12-02,2307,2923,1,191
12-04,3093,2134,0,182
12-06,2919,2932,0,256
12-07,1590,1333,0,101
12-08,2150,2523,0,178
12-09,2788,2337,2,227
12-10,2181,2357,0,170
12-11,1647,1499,1,131
13-01,1237,3922,1,152
13-02,738,1008,0,86
13-05,453,1426,0,63
13-06,1028,1545,0,103
13-07,529,1461,0,71
13-08,534,2092,1,90
13-09,895,2836,3,131
13-10,2112,3111,1,255
13-11,1242,1650,0,138
14-01,496,274,0,29
14-02,4292,2951,4,239
15-01,2028,1733,0,128
15-02,2542,2805,1,197
15-03,2782,1997,0,137
15-04,1097,942,2,71
16-01,1216,1616,0,109
16-02,850,3283,1,123
16-03,421,803,1,50
16-04,1054,1513,0,84
16-05,919,1242,1,77
16-06,327,725,0,38
16-07,1166,1832,0,117
16-09,1585,2959,0,150
16-10,582,3361,0,101
16-11,858,3120,0,118
17-01,592,1575,0,81
17-02,702,1119,0,72
17-03,1610,3977,2,199
17-05,924,2375,1,120
17-06,891,1134,0,79
17-07,541,2464,1,94
17-09,415,2614,0,77
17-10,332,680,0,43
17-11,1009,2839,0,126
17-12,746,2165,1,81
17-13,1468,3072,1,150
17-14,1312,3067,1,128
17-15,795,1431,0,83
18-01,860,2840,0,162
18-02,2318,2149,1,174
18-03,787,1260,0,64
18-04,1880,2111,0,137
18-05,1965,2739,0,169
18-06,954,2385,0,130
18-07,1899,1661,2,123
18-08,1356,2347,0,122
19-03,1462,1582,0,112
19-05,1771,1396,1,102
19-07,2241,2540,1,202
19-09,2573,2246,4,165
19-11,1374,1674,0,132
19-13,726,1106,1,74
19-14,1140,1476,1,106
19-15,1244,1403,0,81
19-16,1113,1368,1,73
19-17,1415,3186,0,175
19-18,1709,1999,0,130
19-19,3492,3287,1,261
