id,Vartan A. (Woofer) Davidian III,under
01-42,1557,1044
01-47,1156,811
02-01,1741,1246
02-02,3657,2172
02-03,1769,992
02-04,1450,866
02-05,598,415
02-06,1628,871
07-02,777,667
07-06,1918,1445
07-07,1706,1538
07-07A,234,328
08-04,1024,687
08-05,1100,885
08-07,1499,932
09-01,1373,730
09-03,2751,2148
10-01,832,329
13-10,2957,2522
13-11,1667,1363
14-01,563,236
14-02,5075,2411
19-03,1884,1272
19-05,2150,1120
19-07,2841,2143
19-09,3119,1869
19-11,1802,1378
19-13,999,908
19-14,1547,1176
19-15,1636,1091
19-18,2293,1545
19-19,4449,2592
19-20,2081,1395
19-21,2604,2178
19-22,1798,1248
19-23,2668,2001
