id,Cindy Kenney,under
01-42,1577,1024
01-47,1274,695
02-01,1910,1077
02-02,3526,2303
02-03,1589,1172
02-04,1300,1016
02-05,640,373
02-06,1445,1054
07-02,995,449
07-06,2274,1091
07-07,2291,953
07-07A,388,174
08-04,1062,649
08-05,1324,661
08-07,1523,908
09-01,1223,880
09-03,3140,1759
10-01,602,559
13-10,3755,1724
13-11,2013,1017
14-01,376,423
14-02,4142,3344
19-03,2011,1145
19-05,1890,1380
19-07,3124,1860
19-09,3004,1984
19-11,2085,1095
19-13,1341,566
19-14,1844,879
19-15,1761,966
19-18,2535,1303
19-19,4396,2645
19-20,2275,1201
19-21,3329,1453
19-22,1946,1100
19-23,3209,1460
