id,Rhonda Graham Young,under
01-01,1415,313
01-02,1312,327
01-03,1345,661
01-05,726,365
01-06,2082,424
01-07,2105,523
01-07A,149,54
01-11,1583,983
01-16,2042,677
01-29,1378,780
01-33,1244,494
01-49,2042,450
04-01,1410,513
04-02,1873,663
04-03,1289,433
04-04,1205,471
04-05,2363,970
04-06,1970,819
04-07,1548,1045
04-08,1768,500
04-09,1780,741
04-10,1827,691
04-11,1015,349
04-12,1775,755
04-14,1091,439
04-15,1635,603
04-16,1442,450
04-17,1223,337
04-18,1884,601
04-20,2041,653
04-21,1149,344
05-05,4917,1371
06-05,1712,1244
06-07,2124,1089
07-01,1219,388
07-10,3467,1099
08-03,3975,1396
08-08,2759,1278
08-10,1864,652
08-11,2669,1066
11-01,3823,1290
11-02,3011,1256
12-01,3838,2646
12-02,3651,1771
12-04,3147,2262
12-06,3870,2237
12-07,1858,1166
12-09,3229,2125
12-10,3050,1658
12-11,2007,1271
15-01,2365,1524
15-02,3591,1954
15-03,2863,2053
15-04,1295,820
16-01,2067,874
16-05,1522,717
16-09,3562,1132
18-02,2765,1877
18-03,1445,666
18-05,3264,1609
20-03,2909,1284
20-05,2602,1383
20-09,1834,771
