id,Blair Williams,under
01-01,1414,314
01-02,1317,322
01-03,1349,657
01-05,727,364
01-06,2085,421
01-07,2101,527
01-07A,136,68
01-11,1588,978
01-16,2050,669
01-29,1380,778
01-33,1251,487
01-49,2034,458
04-01,1393,530
04-02,1861,675
04-03,1273,449
04-04,1180,496
04-05,2356,977
04-06,1955,834
04-07,1547,1046
04-08,1760,508
04-09,1767,754
04-10,1813,705
04-11,1010,354
04-12,1781,749
04-14,1080,450
04-15,1616,624
04-16,1434,458
04-17,1209,351
04-18,1889,596
04-20,2021,673
04-21,1142,351
05-05,4862,1426
06-05,1704,1252
06-07,2108,1105
07-01,1200,407
07-10,3462,1104
08-03,3961,1410
08-08,2756,1281
08-10,1853,663
08-11,2657,1078
11-01,3811,1302
11-02,3015,1252
12-01,3837,2647
12-02,3618,1804
12-04,3139,2270
12-06,3857,2250
12-07,1859,1165
12-09,3216,2138
12-10,3031,1677
12-11,1994,1284
15-01,2342,1547
15-02,3594,1951
15-03,2840,2076
15-04,1303,811
16-01,2040,901
16-05,1519,720
16-09,3521,1173
18-02,2757,1885
18-03,1442,669
18-05,3252,1621
20-03,2905,1288
20-05,2581,1404
20-09,1837,768
