id,Josh Stein,Mark Robinson,Mike Ross,Vinny Smith,Wayne Turner,over,under
01-01,1444,185,40,13,10,1,35
01-02,1364,202,24,9,14,0,26
01-03,1520,352,54,15,4,0,61
01-04,751,152,31,9,3,0,43
01-05,821,175,42,6,5,1,41
01-06,2105,270,72,8,22,0,29
01-07,2103,365,90,10,14,0,46
01-07A,145,31,9,3,2,0,7
01-09,975,116,24,9,2,0,15
01-10,1166,191,55,9,5,3,35
01-11,1749,555,112,20,7,0,123
01-12,1324,294,75,18,11,1,37
01-13,1327,122,30,6,10,0,9
01-14,2970,271,80,10,18,0,39
01-15,1837,583,109,22,20,2,88
01-16,2104,423,75,23,22,1,71
01-17,658,247,43,8,6,0,37
01-18,1610,475,81,22,16,1,50
01-19,1136,62,23,6,5,0,19
01-20,1879,133,44,8,18,0,28
01-21,2759,513,133,21,42,2,62
01-22,2685,173,38,21,14,1,43
01-23,3637,686,133,29,75,5,110
01-25,444,43,12,5,9,1,6
01-26,1580,76,26,9,17,0,25
01-27,1755,176,42,6,13,0,22
01-28,2976,287,74,16,23,2,43
01-29,1584,399,77,14,12,3,69
01-30,872,211,54,8,4,1,32
01-31,1958,348,82,29,65,3,45
01-32,1636,378,54,12,56,0,40
01-33,1310,291,78,12,5,0,42
01-34,1072,70,25,5,5,0,10
01-35,1465,80,22,14,12,1,29
01-36,1602,540,98,27,13,1,86
01-37,1221,340,68,18,10,1,43
01-38,1435,335,59,12,24,0,46
01-39,1594,368,79,23,27,0,39
01-40,2739,221,61,22,33,1,32
01-41,1425,230,39,14,32,1,25
01-42,1621,701,115,35,37,0,92
01-43,1474,376,73,15,17,1,54
01-44,2270,499,100,21,26,1,63
01-45,1067,332,65,12,17,0,30
01-46,1493,245,32,19,39,2,43
01-47,1250,551,81,21,9,0,55
01-48,1507,258,46,14,53,0,35
01-49,1911,384,63,24,67,0,43
01-50,2022,208,43,10,49,3,16
01-51,681,208,40,9,9,0,18
02-01,1892,817,141,33,19,0,85
02-02,3464,1865,256,57,49,2,136
02-03,1548,979,124,31,15,0,64
02-04,1283,834,96,16,12,0,75
02-05,646,288,42,8,6,0,23
02-06,1464,786,132,17,14,0,86
03-01,3122,1239,162,38,49,1,78
03-02,1745,838,99,29,26,1,73
04-01,1385,391,64,18,16,1,48
04-02,1862,514,72,23,26,0,39
04-03,1219,359,60,10,29,1,44
04-04,1192,334,64,21,24,1,40
04-05,2340,686,125,38,85,0,59
04-06,2029,545,89,23,21,3,79
04-07,1619,717,94,34,21,0,108
04-08,1733,380,63,13,35,2,42
04-09,1731,581,93,15,33,1,67
04-10,1772,578,66,17,33,0,53
04-11,1005,248,54,9,24,1,23
04-12,1774,542,75,31,41,0,68
04-13,3147,927,142,37,51,3,95
04-14,1087,310,64,16,12,1,39
04-15,1585,487,64,25,29,1,46
04-16,1436,324,55,22,23,0,32
04-17,1195,261,45,13,24,0,22
04-18,1843,471,81,21,20,1,48
04-19,1168,328,47,16,18,0,37
04-20,1954,544,83,20,48,1,44
04-21,1120,278,40,9,26,0,20
05-01,2359,787,121,34,42,1,78
05-03,2624,844,142,34,40,1,101
05-05,4688,1201,190,44,56,1,108
05-06,3453,981,152,30,60,1,120
05-07,5064,1478,182,57,142,6,92
05-08,3027,790,110,32,73,0,48
06-04,2435,1033,156,38,66,1,66
06-05,1647,1021,158,34,16,0,80
06-06,3846,1554,261,71,86,1,129
06-07,2042,900,127,26,51,0,67
06-08,1333,555,93,28,25,0,42
06-10,3061,1633,234,62,57,3,112
06-11,762,348,40,9,9,0,19
06-12,4181,2139,287,70,47,0,153
07-01,1183,274,61,23,22,0,44
07-02,1072,258,52,11,9,0,42
07-03,1044,298,64,12,3,0,34
07-04,2545,657,126,22,34,3,64
07-05,1204,303,53,18,11,2,31
07-06,2352,712,120,36,25,2,116
07-07,2277,701,125,16,22,0,103
07-07A,446,75,15,3,1,1,21
07-09,2043,559,105,23,26,2,78
07-10,3367,856,164,34,41,2,102
07-11,782,216,35,12,5,0,29
07-12,1748,427,88,16,18,0,55
07-13,1478,426,68,15,19,1,50
08-02,2649,763,158,50,27,0,100
08-03,3828,1125,196,58,52,3,109
08-04,1023,517,96,18,14,0,43
08-05,1357,463,83,30,14,0,38
08-06,1333,260,58,8,27,0,32
08-07,1508,654,142,29,22,0,76
08-08,2730,980,158,45,36,0,88
08-09,1225,385,71,8,21,0,32
08-10,1833,505,86,23,25,0,44
08-11,2641,813,125,28,46,2,80
09-01,990,952,81,27,11,1,41
09-02,2132,852,92,31,33,0,56
09-03,2963,1598,142,47,41,3,105
10-01,527,542,36,12,12,0,32
10-02,2240,1222,105,40,31,2,84
10-03,1811,859,73,30,33,1,47
10-05,2147,1222,124,43,31,1,74
10-06,4082,1453,188,53,45,1,94
11-01,3730,985,190,38,56,1,113
11-02,3048,870,149,28,43,5,124
12-01,3489,2427,268,73,52,1,174
12-02,3266,1716,223,53,62,2,100
12-04,2639,2336,203,61,52,2,116
12-06,3540,2062,229,65,49,2,160
12-07,1604,1152,131,42,31,0,64
12-08,2910,1512,204,67,52,2,104
12-09,2949,1922,233,66,41,0,143
12-10,2859,1398,236,66,37,0,112
12-11,1826,1163,142,39,32,1,75
13-01,4098,839,150,55,86,1,83
13-02,1219,456,81,16,13,0,47
13-05,1496,319,56,14,27,0,30
13-06,1796,651,107,31,33,1,57
13-07,1540,387,56,20,29,1,28
13-08,2165,393,64,17,35,1,42
13-09,2946,697,87,33,39,1,62
13-10,3753,1291,210,55,45,3,122
13-11,2015,758,128,27,17,0,85
14-01,339,396,34,11,3,0,16
14-02,3799,3006,384,63,52,1,181
15-01,2076,1490,158,34,38,4,89
15-02,3246,1846,219,58,62,2,112
15-03,2426,2058,239,55,39,2,97
15-04,1128,776,108,30,23,0,47
16-01,1808,889,117,28,35,1,63
16-02,3374,625,112,36,64,1,45
16-03,865,300,50,15,19,2,24
16-04,1762,688,96,25,18,1,61
16-05,1417,651,74,23,40,1,33
16-06,767,247,33,16,10,0,17
16-07,2115,798,86,35,27,0,54
16-09,3187,1154,181,42,50,2,78
16-10,3380,465,75,30,43,1,50
16-11,3227,628,102,41,51,0,47
17-01,1688,397,62,13,35,1,52
17-02,1280,478,73,17,13,0,32
17-03,4259,1155,172,54,49,2,97
17-05,2529,671,86,28,50,1,55
17-06,1285,659,77,16,15,1,51
17-07,2514,419,57,18,38,2,52
17-09,2602,319,82,26,34,3,40
17-10,738,236,35,9,14,0,23
17-11,2954,749,103,36,59,2,71
17-12,2277,556,65,22,32,2,39
17-13,3330,1037,143,43,43,4,91
17-14,3255,983,117,28,62,1,62
17-15,1581,576,62,24,15,1,50
18-01,2993,543,116,39,89,1,81
18-02,2640,1556,217,51,35,2,141
18-03,1458,474,79,28,23,0,49
18-04,2488,1283,167,51,52,3,84
18-05,3295,1218,171,31,36,2,120
18-06,2519,613,112,30,137,1,57
18-07,2048,1306,158,56,37,0,80
18-08,2622,855,158,37,70,0,83
19-03,1824,1058,122,52,31,1,68
19-05,1727,1211,156,47,18,0,111
19-07,2985,1537,214,79,34,3,132
19-09,2651,1924,205,50,42,1,115
19-11,1955,940,151,43,25,2,64
19-13,1240,512,72,24,18,0,41
19-14,1730,750,115,24,29,2,73
19-15,1667,828,115,27,30,0,61
19-16,1518,842,82,31,24,0,58
19-17,3431,1056,134,39,35,0,81
19-18,2278,1259,166,29,35,1,70
19-19,4087,2361,278,69,55,3,188
19-20,2069,1146,114,29,37,1,80
19-21,3047,1374,167,52,50,5,86
19-22,1821,930,131,48,26,2,88
19-23,2956,1388,159,36,34,0,96
20-01,2276,808,132,42,50,1,68
20-03,2798,1035,168,40,43,2,107
20-04,2324,711,91,24,49,0,51
20-05,2646,1002,159,26,50,1,101
