id,Ed George,Tim Longest,over,under
01-05,253,671,0,167
01-06,360,1970,0,176
01-09,171,893,1,74
01-10,265,1031,0,166
01-11,689,1431,0,446
01-12,371,1203,0,186
01-15,578,1657,2,424
01-17,256,557,1,185
01-18,487,1521,0,247
01-30,286,745,0,150
01-36,605,1371,0,391
01-37,384,1072,0,245
01-38,307,1368,0,236
01-39,411,1487,0,232
01-42,747,1414,0,440
01-43,387,1383,1,239
01-44,517,2162,1,300
01-45,356,974,1,192
01-46,219,1474,2,178
01-47,588,1107,2,270
01-51,217,611,0,137
07-03,267,927,2,259
07-04,705,2365,0,381
07-09,625,1869,1,341
13-02,466,1104,0,262
13-05,293,1472,0,177
