id,Lisa Grafstein,Scott Lassiter,Susan Hogarth,over,under
03-01,2596,1802,138,2,151
03-02,1415,1231,73,1,91
04-07,1248,1230,49,1,65
06-04,1811,1296,121,1,105
06-05,1281,1541,62,0,72
06-07,1737,1256,104,1,115
06-10,2539,2311,153,1,158
06-11,637,485,35,0,28
06-12,3330,3173,169,0,205
12-01,2756,3390,163,3,172
12-02,2848,2246,190,1,137
12-04,2093,3034,154,0,128
12-06,2899,2885,150,1,172
12-07,1299,1560,95,0,70
12-08,2474,2089,148,1,139
12-09,2322,2730,141,1,160
12-10,2334,2123,127,0,124
12-11,1491,1596,91,0,100
15-01,1701,1957,129,0,102
15-02,2762,2514,126,1,142
15-03,1947,2714,148,0,107
15-04,931,1082,62,0,37
16-01,1577,1163,107,0,94
16-04,1497,1034,63,1,56
16-05,1214,888,75,0,62
16-07,1800,1112,98,0,105
16-09,652,471,40,0,21
17-02,1037,648,60,1,53
17-06,1121,857,52,0,74
18-02,2134,2243,122,0,143
18-04,2052,1831,142,0,103
18-05,2747,1896,107,1,125
18-07,1642,1840,105,1,97
20-05,2152,1600,101,0,132
20-11,1,1,0,0,1
