id,David Bankert,Jay J. Chaudhuri,Kat McDonald,over,under
01-01,327,1281,48,6,66
01-03,760,1120,54,1,71
01-04,350,595,16,1,27
01-05,434,582,21,0,54
01-06,490,1855,71,2,88
01-07,590,1827,119,1,91
01-07A,40,140,10,0,7
01-09,239,838,28,0,34
01-10,453,938,32,3,39
01-11,1208,1217,48,1,92
01-12,545,1099,54,4,58
01-13,201,1186,61,2,54
01-15,956,1479,81,1,144
01-17,426,497,31,0,45
01-18,717,1388,80,0,70
01-23,1030,3136,200,1,308
01-27,273,1617,69,1,54
01-28,466,2735,119,1,100
01-29,867,1155,50,2,84
01-30,405,693,31,0,54
01-36,1013,1187,73,0,94
01-37,620,942,61,0,78
01-38,477,1282,71,0,81
01-39,571,1376,94,1,88
01-43,547,1293,99,1,70
01-44,767,2006,109,0,98
01-45,513,887,70,0,53
01-46,280,1418,75,1,99
01-51,356,544,30,0,35
07-04,969,2172,178,1,131
07-05,516,991,64,1,50
07-06,1249,1891,100,4,119
07-09,903,1702,119,2,110
07-13,661,1245,76,1,74
13-01,384,1608,111,0,48
13-02,703,972,76,1,80
13-05,439,1351,88,1,63
13-06,960,1517,107,3,89
13-07,506,1397,85,1,72
13-08,532,1981,108,2,94
13-09,885,2718,144,0,118
13-10,2003,3084,179,3,210
13-11,1195,1615,100,3,117
17-01,557,1514,88,2,87
17-10,320,650,39,1,45
18-01,805,2699,194,3,161
19-13,698,1060,82,0,67
19-14,665,878,72,0,68
