id,Ashlee Bryan Adams,Brad Hessel,Terence Everitt,over,under
01-42,1138,88,1283,0,92
01-47,826,59,1017,0,65
02-01,1278,89,1545,1,74
02-02,2729,164,2784,0,152
02-03,1351,94,1258,2,56
02-04,1172,59,1020,1,64
02-05,428,30,529,0,26
02-06,1256,58,1112,0,73
08-04,770,63,841,0,37
08-07,1087,74,1194,1,75
09-01,1128,50,876,0,49
09-03,2015,135,2632,0,117
10-01,682,35,406,0,38
10-02,1532,107,1987,1,97
14-01,489,27,265,0,18
14-02,4059,286,2977,1,163
19-03,1360,139,1580,0,77
19-05,1703,97,1392,1,77
19-07,2112,149,2572,0,151
19-09,2450,156,2249,1,132
19-11,1323,136,1629,3,89
19-14,431,38,540,0,31
19-15,1169,99,1386,3,70
19-16,1066,77,1354,0,58
19-18,1611,136,2006,0,85
19-19,3281,221,3368,0,171
19-20,1526,105,1772,1,72
19-22,1321,106,1536,0,83
19-23,1822,185,2537,0,125
