id,Maurice (Mo) Green,Michele Morrow,over,under
01-01,1358,306,0,64
01-02,1287,309,0,43
01-03,1309,634,3,60
01-04,664,303,0,22
01-05,685,367,0,39
01-06,1979,462,0,65
01-07,1950,583,0,95
01-07A,146,40,0,11
01-09,918,197,0,25
01-10,1028,401,3,31
01-11,1448,1025,2,91
01-12,1201,499,2,58
01-13,1263,200,0,41
01-14,2837,462,0,89
01-15,1651,883,0,127
01-16,1986,659,1,73
01-17,576,378,0,45
01-18,1523,677,1,54
01-19,1159,70,0,22
01-20,1848,192,0,70
01-21,2657,783,1,91
01-22,2690,220,0,65
01-23,3457,934,3,281
01-25,446,59,0,15
01-26,1563,127,0,43
01-27,1687,278,0,49
01-28,2886,454,0,81
01-29,1384,723,2,49
01-30,781,359,2,41
01-31,1940,497,0,93
01-32,1579,516,0,81
01-33,1207,464,0,67
01-34,1067,94,0,26
01-35,1469,117,0,37
01-36,1404,880,1,82
01-37,1075,562,1,63
01-38,1380,462,0,69
01-39,1496,558,0,76
01-40,2772,285,1,51
01-41,1395,313,1,57
01-42,1401,1087,1,112
01-43,1399,541,1,69
01-44,2164,722,0,94
01-45,978,499,0,46
01-46,1499,285,0,89
01-47,1139,777,2,51
01-48,1473,388,0,52
01-49,1884,524,0,84
01-50,2058,236,1,56
01-51,620,311,0,34
02-01,1703,1200,0,84
02-02,3026,2647,3,153
02-03,1354,1335,0,72
02-04,1106,1141,0,69
02-05,583,409,0,21
02-06,1244,1184,0,74
03-01,2837,1713,2,137
03-02,1605,1109,1,96
04-01,1323,541,1,58
04-02,1765,708,0,63
04-03,1157,515,1,49
04-04,1141,493,1,41
04-05,2227,1002,2,102
04-06,1894,815,0,80
04-07,1405,1107,1,80
04-08,1667,524,1,76
04-09,1591,841,0,89
04-10,1692,754,4,68
04-11,982,350,0,32
04-12,1695,770,0,68
04-13,2959,1315,0,128
04-14,1041,458,0,30
04-15,1534,636,0,67
04-16,1371,467,2,52
04-17,1146,367,0,47
04-18,1735,673,0,77
04-19,1113,456,0,45
04-20,1882,735,0,77
04-21,1091,353,1,48
05-01,2222,1087,1,112
05-03,2358,1294,2,132
05-05,4401,1703,0,184
05-06,3107,1513,2,175
05-07,4831,1985,2,203
05-08,2928,1037,0,115
06-04,2283,1375,2,135
06-05,1449,1423,0,84
06-06,3530,2236,1,181
06-07,1883,1220,0,110
06-08,1277,738,1,60
06-10,2773,2201,5,183
06-11,700,449,0,37
06-12,3682,2960,0,235
07-01,1149,414,0,44
07-02,964,422,0,58
07-03,940,472,1,42
07-04,2402,932,0,117
07-05,1115,461,2,44
07-06,2104,1167,1,91
07-07,2111,1045,1,87
07-07A,390,141,0,31
07-09,1897,844,0,95
07-10,3171,1257,0,138
07-11,703,341,0,35
07-12,1638,634,0,80
07-13,1374,618,2,63
08-02,2476,1160,0,111
08-03,3587,1613,2,169
08-04,944,729,1,37
08-05,1248,686,3,48
08-06,1308,355,0,55
08-07,1313,1037,1,80
08-08,2495,1401,1,140
08-09,1161,528,2,53
08-10,1687,756,0,73
08-11,2430,1161,0,144
09-01,928,1125,0,50
09-02,2058,1033,2,103
09-03,2806,1967,0,126
10-01,452,673,0,36
10-02,2107,1512,0,105
10-03,1706,1070,2,76
10-05,2002,1535,2,103
10-06,3870,1883,1,162
11-01,3481,1441,3,188
11-02,2832,1270,1,164
12-01,3080,3205,2,197
12-02,3056,2216,0,150
12-04,2374,2895,2,138
12-06,3203,2712,3,189
12-07,1472,1476,0,76
12-08,2706,1994,0,151
12-09,2607,2563,1,183
12-10,2620,1939,3,146
12-11,1630,1541,0,107
13-01,4000,1162,1,149
13-02,1094,671,1,66
13-05,1457,427,0,58
13-06,1664,919,1,92
13-07,1499,495,1,66
13-08,2117,511,0,89
13-09,2911,833,2,119
13-10,3351,1942,0,186
13-11,1801,1122,0,107
14-01,299,480,0,20
14-02,3213,4063,2,208
15-01,1883,1890,0,116
15-02,2985,2399,0,161
15-03,2185,2624,1,106
15-04,1036,1020,0,56
16-01,1696,1145,0,100
16-02,3353,789,0,115
16-03,841,395,0,39
16-04,1622,966,0,63
16-05,1307,866,0,66
16-06,749,309,0,32
16-07,1960,1072,1,82
16-09,3081,1479,3,131
16-10,3384,571,0,89
16-11,3168,804,0,124
17-01,1602,562,0,84
17-02,1193,647,0,53
17-03,4106,1527,0,155
17-05,2458,870,1,91
17-06,1189,839,0,76
17-07,2504,518,1,77
17-09,2650,392,0,64
17-10,698,315,0,42
17-11,2873,974,0,127
17-12,2211,707,1,74
17-13,3204,1358,1,128
17-14,3158,1246,0,104
17-15,1515,733,0,61
18-01,2941,770,0,151
18-02,2355,2145,3,139
18-03,1362,696,1,52
18-04,2273,1732,0,123
18-05,3009,1742,1,124
18-06,2442,886,2,139
18-07,1830,1735,1,119
18-08,2503,1227,1,94
19-03,1702,1363,1,90
19-05,1515,1672,1,82
19-07,2748,2068,1,167
19-09,2401,2452,1,134
19-11,1778,1304,0,98
19-13,1155,686,1,65
19-14,1540,1083,0,100
19-15,1466,1191,0,71
19-16,1433,1059,1,62
19-17,3305,1307,2,162
19-18,2124,1610,2,102
19-19,3618,3234,0,189
19-20,1911,1469,3,93
19-21,2847,1780,2,152
19-22,1658,1298,0,90
19-23,2731,1791,1,146
20-01,2133,1138,0,106
20-03,2627,1423,1,142
20-04,2190,982,0,78
20-05,2370,1485,2,128
20-06A,3158,1544,1,149
20-06B,2081,1155,0,112
20-08,2797,1622,1,170
20-09,1686,848,0,71
20-10,2026,811,2,74
20-11,3586,2018,3,170
20-12,3665,2009,2,170
20-14,4608,2165,3,193
20-15,3039,1173,2,147
20-16,2878,1119,2,128
20-17,3123,1394,0,156
