id,Graham Shirley,Jennifer Bedford,over,under
03-01,1948,2540,4,197
03-02,1288,1403,3,117
06-04,1507,2146,0,142
06-05,1590,1267,0,99
06-06,2530,3168,2,248
06-07,1336,1738,0,139
06-08,813,1177,0,86
06-10,2389,2577,2,194
06-11,486,652,0,47
06-12,3234,3356,1,286
12-01,3476,2755,2,251
12-02,2316,2905,1,200
12-04,3083,2145,2,179
12-06,2881,2974,1,251
12-07,1577,1349,0,98
12-08,2132,2528,3,188
12-09,2791,2353,1,209
12-10,2205,2339,0,164
12-11,1642,1501,1,134
15-02,2549,2804,2,190
18-02,2302,2165,4,171
18-03,827,1219,0,65
18-05,1996,2709,0,170
18-07,1911,1652,3,119
20-01,1275,1974,0,128
20-03,1706,2325,1,161
20-05,1707,2120,0,158
20-06A,1826,2816,1,209
20-06B,1340,1865,0,143
20-08,1903,2473,1,213
20-09,1045,1456,0,104
20-11,2296,3248,0,233
20-12,2245,3386,3,212
