id,Brad Briner,Wesley Harris,over,under
01-01,420,1236,0,72
01-02,435,1143,0,61
01-03,913,1009,1,83
01-04,424,532,0,33
01-05,508,529,0,54
01-06,618,1796,0,92
01-07,756,1766,0,106
01-07A,40,147,0,13
01-09,325,780,0,36
01-10,572,839,1,51
01-11,1414,1043,0,109
01-12,674,1024,1,61
01-13,268,1185,0,51
01-14,667,2612,0,109
01-15,1071,1457,0,133
01-16,843,1781,1,94
01-17,492,457,0,50
01-18,824,1365,0,66
01-19,81,1139,1,30
01-20,278,1752,0,80
01-21,933,2480,1,118
01-22,239,2669,0,67
01-23,1214,3150,2,309
01-25,77,431,0,12
01-26,191,1499,0,43
01-27,355,1600,2,57
01-28,555,2763,0,103
01-29,1075,1009,1,73
01-30,503,626,0,53
01-31,619,1812,0,99
01-32,593,1504,0,79
01-33,650,1010,0,78
01-34,129,1028,0,30
01-35,138,1444,0,41
01-36,1184,1085,2,96
01-37,722,902,0,77
01-38,518,1319,0,74
01-39,647,1390,0,93
01-40,326,2726,1,56
01-41,404,1304,1,57
01-42,1285,1202,0,114
01-43,623,1301,1,85
01-44,875,2005,2,98
01-45,588,881,1,53
01-46,311,1470,0,92
01-47,944,956,1,67
01-48,496,1360,1,56
01-49,628,1761,0,103
01-50,292,2003,0,56
01-51,390,535,0,40
02-01,1426,1464,1,96
02-02,3073,2583,1,172
02-03,1501,1184,1,75
02-04,1275,965,0,76
02-05,486,501,0,26
02-06,1399,1005,1,94
03-01,2015,2502,1,171
03-02,1314,1398,0,99
04-01,644,1217,0,62
04-02,854,1594,0,88
04-03,576,1090,0,56
04-04,563,1062,1,50
04-05,1224,1989,1,119
04-06,1010,1691,0,88
04-07,1355,1157,1,80
04-08,699,1494,0,75
04-09,1028,1396,0,97
04-10,905,1533,0,80
04-11,411,903,0,50
04-12,915,1525,0,90
04-13,1589,2654,2,157
04-14,559,937,0,33
04-15,790,1366,0,81
04-16,576,1240,1,75
04-17,476,1030,0,54
04-18,821,1562,1,101
04-19,561,998,0,55
04-20,880,1723,0,91
04-21,411,1035,0,47
05-01,1273,2030,3,116
05-03,1520,2111,0,155
05-05,1979,4106,2,201
05-06,1824,2782,0,191
05-07,2255,4559,1,206
05-08,1192,2764,2,122
06-04,1573,2083,2,137
06-05,1640,1213,1,102
06-06,2654,3089,0,205
06-07,1403,1686,0,124
06-08,855,1145,0,76
06-10,2483,2495,0,184
06-11,516,624,0,46
06-12,3347,3272,1,257
07-01,521,1035,0,51
07-02,550,824,1,69
07-03,592,805,0,58
07-04,1115,2211,0,125
07-05,551,1016,0,55
07-06,1481,1766,0,116
07-07,1297,1834,0,113
07-07A,189,343,0,30
07-09,1025,1698,1,112
07-10,1500,2896,0,170
07-11,422,617,0,40
07-12,784,1476,1,91
07-13,736,1252,0,69
08-02,1458,2154,1,134
08-03,1950,3218,1,202
08-04,851,817,0,43
08-05,856,1062,0,67
08-06,437,1224,0,57
08-07,1238,1110,0,83
08-08,1726,2157,1,153
08-09,644,1035,0,62
08-10,910,1507,1,98
08-11,1416,2144,1,174
09-01,1193,864,0,46
09-02,1106,1983,2,105
09-03,2112,2662,0,125
10-01,721,407,0,33
10-02,1605,2012,0,107
10-03,1191,1584,0,79
10-05,1670,1864,2,106
10-06,2081,3648,1,186
11-01,1743,3160,0,210
11-02,1574,2525,0,168
12-01,3572,2700,2,210
12-02,2385,2862,0,175
12-04,3168,2087,0,154
12-06,3017,2867,1,222
12-07,1646,1292,1,85
12-08,2187,2494,0,170
12-09,2826,2332,1,195
12-10,2297,2259,0,152
12-11,1690,1454,0,134
13-01,1306,3845,1,160
13-02,801,957,0,74
13-05,479,1405,0,58
13-06,1083,1502,0,91
13-07,551,1444,2,64
13-08,542,2080,0,95
13-09,933,2811,1,120
13-10,2236,3014,0,229
13-11,1304,1605,0,121
14-01,509,265,1,24
14-02,4404,2886,1,195
15-01,2063,1708,1,117
15-02,2628,2750,0,167
15-03,2831,1961,1,123
15-04,1121,935,0,56
16-01,1226,1616,0,99
16-02,867,3286,0,104
16-03,438,794,1,42
16-04,1097,1492,0,62
16-05,935,1237,0,67
16-06,336,716,0,38
16-07,1204,1812,0,99
16-09,1651,2911,1,131
16-10,605,3347,1,91
16-11,882,3092,0,122
17-01,615,1552,0,81
17-02,718,1114,0,61
17-03,1675,3941,2,170
17-05,960,2350,0,110
17-06,910,1114,0,80
17-07,573,2449,0,78
17-09,431,2599,2,74
17-10,329,683,0,43
17-11,1043,2802,2,127
17-12,780,2131,0,82
17-13,1509,3032,1,149
17-14,1357,3043,0,108
17-15,798,1435,0,76
18-01,973,2740,0,149
18-02,2402,2081,2,157
18-03,858,1203,0,50
18-04,2009,1997,0,122
18-05,2119,2599,2,155
18-06,1060,2283,0,126
18-07,1974,1587,0,124
18-08,1444,2269,0,112
19-03,1495,1563,0,98
19-05,1827,1345,0,98
19-07,2330,2473,2,179
19-09,2616,2220,1,151
19-11,1433,1626,0,121
19-13,744,1091,0,72
19-14,1204,1416,0,103
19-15,1282,1380,1,65
19-16,1124,1371,0,60
19-17,1459,3148,0,169
19-18,1780,1936,0,122
19-19,3642,3155,3,241
19-20,1667,1710,1,98
19-21,1952,2681,3,145
19-22,1451,1483,0,112
19-23,2010,2494,3,162
20-01,1293,1956,0,128
20-03,1708,2317,1,167
20-04,1158,1974,1,117
20-05,1763,2078,1,143
20-06A,1814,2859,0,179
20-06B,1350,1866,0,132
20-08,1940,2446,0,204
20-09,1060,1459,0,86
20-10,1016,1789,0,108
20-11,2392,3184,0,201
20-12,2292,3377,0,177
20-14,2567,4180,1,221
20-15,1377,2819,2,163
20-16,1272,2715,0,140
20-17,1697,2805,0,171
