id,James Bledsoe,Jonathan Lambert-Melton,Joshua Bradley,Katie Pate,Reeves Peeler,Robert Steele Jr.,Stormie Denise Forte,Write-In,over,under
01-01,203,719,150,180,386,85,802,25,6,900
01-02,230,665,160,170,441,95,751,17,4,748
01-03,488,679,153,162,460,114,699,26,2,1229
01-04,245,362,69,66,241,68,344,13,0,570
01-05,231,337,55,69,391,110,337,12,2,638
01-06,327,1047,217,268,623,130,1063,27,2,1308
01-07,372,1109,279,276,470,144,1084,21,2,1499
01-07A,40,38,26,36,11,18,58,1,2,164
01-09,150,521,81,87,307,69,530,9,2,520
01-10,264,604,99,104,387,82,576,13,4,791
01-11,703,804,147,212,519,204,836,34,2,1671
01-12,342,702,172,188,313,113,694,14,2,980
01-13,147,709,101,125,379,63,729,13,0,742
01-14,356,1705,255,275,819,128,1709,20,4,1505
01-15,659,759,243,315,361,207,853,23,2,1900
01-16,500,1023,291,310,413,199,1080,29,2,1591
01-17,298,306,87,92,145,61,316,18,0,675
01-18,538,704,236,280,379,196,792,26,4,1355
01-19,187,482,124,133,96,78,674,7,0,721
01-20,254,918,216,223,328,84,1039,22,0,1136
01-21,548,1256,437,529,473,232,1499,44,2,2028
01-22,326,1117,355,315,267,161,1583,13,4,1431
01-23,582,1441,607,625,959,318,1674,51,4,3089
01-25,75,180,62,74,47,32,227,10,0,333
01-26,180,750,177,176,218,92,932,12,8,921
01-27,210,943,194,234,406,106,977,15,4,939
01-28,434,1403,310,435,530,156,1656,24,6,1888
01-29,600,747,143,158,429,174,752,23,4,1286
01-30,299,446,88,94,201,68,430,17,6,713
01-31,373,804,361,313,497,164,939,21,4,1584
01-32,368,705,281,330,334,172,883,19,2,1258
01-33,367,691,153,143,321,113,709,10,2,967
01-34,148,514,100,120,181,62,618,1,0,630
01-35,224,655,171,174,149,99,863,6,2,903
01-36,617,697,210,285,379,177,758,29,2,1580
01-37,409,517,147,206,269,127,580,15,2,1130
01-38,346,590,216,243,304,116,779,18,0,1210
01-39,424,661,284,276,358,146,761,30,2,1318
01-40,412,1134,390,336,301,187,1613,18,6,1819
01-41,221,660,236,204,414,142,737,17,0,901
01-42,848,754,237,255,299,217,785,31,0,1772
01-43,441,570,226,293,265,139,720,23,8,1335
01-44,616,937,339,458,398,223,1167,28,8,1786
01-45,379,474,173,212,192,129,557,14,2,914
01-46,272,569,228,262,178,118,801,16,6,1240
01-47,616,606,152,186,257,161,652,17,0,1288
01-48,280,787,231,213,376,130,839,18,0,952
01-49,363,716,285,394,316,163,916,27,0,1488
01-50,323,793,288,263,208,121,1157,10,6,1271
01-51,240,325,93,121,157,74,339,9,2,570
02-01,197,241,48,103,78,53,273,11,0,424
02-04,76,61,16,29,24,24,66,3,0,123
02-06,313,307,52,68,70,61,265,15,0,552
04-05,130,140,37,64,59,37,145,2,4,304
05-05,1245,1954,755,980,782,470,2425,61,12,3860
07-01,331,612,153,187,232,131,667,12,0,889
07-02,394,511,113,177,209,120,552,8,0,780
07-03,399,563,125,151,157,134,563,11,4,805
07-04,686,1131,418,454,558,277,1296,38,2,2042
07-05,406,554,158,225,199,108,595,7,0,982
07-06,991,1094,290,394,483,287,1147,34,8,1998
07-07,795,1069,313,376,479,252,1124,38,4,1886
07-07A,100,199,29,67,85,62,188,2,4,388
07-09,679,974,254,301,383,203,1091,31,4,1740
07-10,890,1473,460,584,549,305,1612,59,4,2404
07-11,280,396,106,130,145,73,394,12,2,618
07-12,558,831,222,323,331,196,898,33,2,1310
07-13,506,652,197,288,254,168,735,15,4,1245
08-02,692,938,269,421,362,226,1043,25,4,1690
08-03,1068,1477,553,665,547,396,1722,49,0,2897
08-05,160,242,79,91,91,53,285,5,0,436
08-06,325,537,204,252,244,108,678,12,0,968
08-07,30,37,11,15,16,6,29,3,0,79
08-08,658,785,245,361,323,203,839,26,2,1498
08-09,400,594,200,224,271,138,658,14,2,949
08-10,509,735,250,325,297,144,847,25,4,1348
08-11,868,1038,395,574,450,251,1249,31,4,2386
11-01,1093,1615,615,642,674,319,1820,62,4,3218
11-02,977,1417,456,509,612,327,1546,54,6,2594
13-01,823,1677,697,846,455,417,2219,71,8,3173
13-02,505,610,137,219,217,141,648,22,4,1155
13-05,314,588,238,312,172,131,828,22,2,1237
13-06,690,898,272,309,317,200,1010,35,0,1615
13-07,353,568,223,302,167,141,775,24,6,1125
13-08,396,818,307,404,212,196,1191,19,2,1577
13-09,698,1287,441,535,390,298,1706,44,10,2281
13-10,1448,1786,459,671,604,406,1996,69,4,3493
13-11,770,827,252,363,344,247,923,17,8,1753
16-02,242,551,198,223,147,133,828,16,6,856
16-10,397,1412,418,482,268,221,1917,23,6,1796
16-11,443,1090,401,429,212,203,1465,25,0,1702
17-01,331,580,203,324,183,171,806,22,6,1258
17-03,843,1595,592,742,541,616,2071,48,0,3284
17-05,584,853,401,505,300,271,1207,31,8,2016
17-07,375,973,329,368,237,197,1307,32,4,1596
17-09,408,1048,344,420,262,176,1491,34,6,1759
17-10,214,268,142,185,98,106,398,12,0,687
17-11,662,1276,427,608,332,319,1625,28,2,2393
17-14,367,662,305,434,175,185,920,35,2,1283
18-01,497,1190,499,497,731,255,1394,45,8,2108
18-06,336,876,382,386,434,162,1021,20,6,1659
19-13,423,460,175,280,172,160,578,14,2,1266
19-14,785,666,268,403,196,227,887,36,0,1978
19-15,520,437,164,262,137,165,546,25,0,1148
19-16,245,333,145,192,87,96,441,19,2,686
19-17,845,1519,551,674,437,412,1929,67,4,2694
19-21,431,584,255,321,165,178,732,21,12,1241
