id,Corey Branch,DaQuanta Copeland,Daniel Grant-King,Jared S. Ollison,Portia W. Rochelle,Tolulope O. Omokaiye,Tomara DeCosta,Write-In,over,under
01-13,588,56,40,117,54,337,86,9,7,211
01-14,1316,142,100,141,106,930,151,14,19,469
01-19,464,135,41,82,145,204,68,4,5,103
01-20,779,196,70,126,147,403,98,8,14,269
01-22,1000,259,104,226,249,593,138,8,26,183
01-26,640,197,65,112,152,290,90,4,20,163
01-28,1195,243,128,230,227,671,228,16,43,440
01-34,451,105,47,99,79,220,50,0,14,122
01-35,543,161,57,163,201,261,81,4,11,141
01-40,1051,300,157,216,346,573,177,10,24,254
01-50,833,200,96,210,209,340,150,2,17,163
16-02,518,180,74,101,131,301,132,5,38,120
16-10,1409,364,175,173,227,540,286,10,40,246
16-11,1040,346,152,198,214,441,247,4,30,313
17-01,592,187,107,103,155,290,178,9,27,294
17-05,925,293,191,160,179,457,413,10,29,431
17-07,994,249,129,218,221,385,224,12,21,256
17-09,1012,360,154,187,240,489,212,13,24,283
17-10,326,87,69,56,69,122,146,7,12,161
