id,Eugene Myrick,James L. Shaughnessy IV,Janet Cowell,Paul Fitts,Terrance (Truth) Ruth,Write-In,over,under
01-01,50,49,1086,165,179,10,3,186
01-02,63,44,1053,189,149,8,2,131
01-03,51,34,1210,413,90,8,1,199
01-04,16,18,603,191,78,5,0,78
01-05,17,21,648,226,75,2,1,101
01-06,94,63,1523,289,267,12,3,255
01-07,113,76,1535,318,244,15,1,326
01-07A,17,12,92,21,21,0,0,34
01-09,21,24,793,135,82,7,1,78
01-10,44,24,999,236,54,7,0,99
01-11,57,52,1448,613,105,9,3,279
01-12,33,51,1069,317,108,3,2,177
01-13,66,32,967,118,178,6,0,137
01-14,124,88,2378,244,274,12,5,263
01-15,87,92,1334,599,176,8,1,364
01-16,99,61,1573,435,245,12,4,290
01-17,21,34,483,297,46,3,0,115
01-18,106,70,1167,487,197,10,4,214
01-19,116,31,800,62,155,5,0,82
01-20,182,35,1260,125,300,9,2,197
01-21,240,138,1958,427,367,20,1,373
01-22,308,54,1675,149,419,12,2,167
01-23,311,224,2224,521,518,33,9,835
01-25,66,14,261,43,70,6,2,58
01-26,234,41,975,88,257,4,4,130
01-27,110,59,1343,146,168,6,1,181
01-28,241,87,2066,286,406,14,3,318
01-29,41,54,1246,537,117,4,4,155
01-30,28,25,666,274,72,8,0,109
01-31,191,111,1289,285,322,13,1,318
01-32,94,84,1145,294,297,10,1,251
01-33,28,35,1051,347,95,4,2,176
01-34,97,32,729,58,184,1,0,86
01-35,241,34,954,80,195,1,2,116
01-36,64,68,1176,622,139,10,3,285
01-37,51,49,914,402,90,7,3,185
01-38,130,66,983,266,236,15,1,214
01-39,119,76,1105,384,209,12,2,223
01-40,304,72,1833,182,481,12,3,221
01-41,114,62,946,185,274,12,2,171
01-42,75,63,1237,814,138,9,2,261
01-43,122,68,981,400,222,4,1,212
01-44,162,87,1593,521,312,16,1,288
01-45,62,49,773,371,117,4,2,145
01-46,151,79,944,190,253,10,3,215
01-47,57,49,953,605,112,5,0,186
01-48,73,60,1172,232,218,5,2,151
01-49,141,85,1191,260,342,15,0,300
01-50,253,70,1257,121,368,3,5,143
01-51,36,24,507,221,83,3,1,90
02-01,23,20,367,175,47,2,1,78
02-04,4,3,93,72,22,4,0,15
02-06,12,27,395,295,42,4,1,76
04-05,11,14,237,111,23,1,0,64
05-05,370,237,3196,1072,630,35,14,718
07-01,92,48,921,282,117,6,3,138
07-02,60,40,771,319,109,3,1,129
07-03,40,41,812,366,57,4,0,135
07-04,148,114,1834,646,325,19,1,364
07-05,77,55,867,340,124,6,0,148
07-06,81,74,1845,924,151,10,5,274
07-07,104,75,1677,788,219,10,3,292
07-07A,9,14,376,82,11,0,0,70
07-09,129,89,1510,607,209,8,4,274
07-10,217,135,2200,746,403,29,3,437
07-11,27,25,641,243,42,6,2,94
07-12,119,66,1308,429,196,7,4,223
07-13,84,53,1073,444,156,8,2,212
08-02,113,83,1558,617,178,7,2,277
08-03,234,168,2299,965,476,22,9,514
08-05,19,19,389,155,58,2,2,77
08-06,111,47,883,240,207,5,3,168
08-07,4,2,48,31,11,1,0,16
08-08,87,88,1260,620,135,7,1,272
08-09,71,58,917,355,164,1,3,156
08-10,115,63,1160,439,217,13,3,232
08-11,179,144,1791,771,278,13,4,443
11-01,194,178,2559,959,465,21,8,647
11-02,159,133,2289,905,289,21,6,447
13-01,470,232,2606,618,714,32,5,516
13-02,62,73,908,472,121,3,2,188
13-05,123,62,1022,282,225,8,2,198
13-06,125,96,1344,613,218,9,2,266
13-07,151,76,950,228,227,9,1,200
13-08,242,95,1332,271,394,11,4,212
13-09,313,106,1969,561,532,16,7,341
13-10,180,196,2706,1353,360,25,3,645
13-11,102,79,1383,671,199,5,3,310
16-02,194,59,857,116,254,5,1,114
16-10,364,94,1968,219,589,12,7,217
16-11,334,107,1562,227,500,9,6,240
17-01,167,77,977,245,259,10,0,207
17-03,402,235,2539,690,693,17,8,582
17-05,252,114,1500,448,423,17,2,332
17-07,245,86,1458,199,483,15,3,220
17-09,287,108,1630,200,495,16,2,236
17-10,77,54,508,180,118,7,1,110
17-11,308,151,1960,477,530,16,6,388
17-14,173,75,1057,291,321,17,2,248
18-01,263,144,1883,385,473,21,2,441
18-06,162,95,1468,305,262,10,7,332
19-13,100,77,811,347,171,7,3,249
19-14,143,121,1148,717,226,12,3,353
19-15,78,78,747,463,131,7,0,198
19-16,84,44,517,193,156,4,1,124
19-17,370,178,2184,739,581,23,5,486
19-21,174,83,877,389,235,12,7,193
