id,Chase Oliver,Cornel West,Donald J. Trump,Jill Stein,Kamala D. Harris,Randall Terry,Write-In,over,under
01-01,19,2,352,9,1328,2,6,1,9
01-02,8,2,360,11,1245,2,7,0,4
01-03,16,0,771,6,1182,0,14,0,17
01-04,2,1,348,3,613,1,7,0,14
01-05,2,0,439,5,634,0,7,0,4
01-06,16,2,501,13,1935,1,19,0,19
01-07,17,2,658,20,1900,3,10,3,15
01-07A,2,0,40,0,149,1,0,3,2
01-09,5,0,236,4,879,1,9,0,5
01-10,11,2,442,4,984,1,6,0,12
01-11,5,2,1213,9,1281,2,24,1,29
01-12,11,3,578,2,1145,0,10,0,11
01-13,15,0,226,8,1250,0,3,0,2
01-14,24,4,508,17,2808,0,12,2,13
01-15,8,6,996,7,1610,4,12,3,15
01-16,12,4,764,17,1897,2,10,1,12
01-17,7,1,438,5,535,0,7,0,6
01-18,20,3,747,9,1450,3,12,1,10
01-19,3,10,74,4,1146,2,2,4,6
01-20,12,9,232,16,1809,5,12,3,12
01-21,23,12,868,37,2551,3,15,6,17
01-22,4,15,251,16,2657,2,4,12,14
01-23,20,11,1134,38,3432,4,19,2,15
01-25,0,2,66,4,443,1,1,3,0
01-26,4,5,149,12,1542,1,8,5,7
01-27,8,2,311,13,1662,1,5,3,9
01-28,21,8,499,19,2843,3,10,4,14
01-29,9,1,862,7,1243,1,7,2,26
01-30,9,0,407,3,750,1,9,0,3
01-31,18,15,586,56,1835,2,10,1,7
01-32,9,3,560,50,1534,1,8,0,11
01-33,8,0,561,10,1144,1,5,0,9
01-34,3,4,119,3,1042,1,6,3,6
01-35,3,10,127,5,1471,0,2,3,2
01-36,21,3,1016,9,1284,1,12,0,21
01-37,10,0,642,3,1022,2,9,1,12
01-38,10,5,505,17,1361,0,4,2,7
01-39,7,7,605,20,1463,9,7,1,11
01-40,5,13,309,18,2741,2,5,10,6
01-41,9,6,344,29,1353,0,13,1,11
01-42,14,1,1182,16,1349,5,18,2,14
01-43,9,6,602,16,1359,2,8,1,7
01-44,16,8,790,17,2122,4,6,2,15
01-45,11,5,545,10,935,0,8,1,8
01-46,6,11,330,19,1485,1,3,5,13
01-47,11,1,863,7,1067,2,9,1,8
01-48,11,6,402,50,1425,3,8,1,7
01-49,18,7,555,59,1832,4,10,1,6
01-50,7,22,283,33,1990,4,6,2,4
01-51,6,1,358,3,579,1,8,0,9
02-01,26,5,1288,15,1623,3,14,1,12
02-02,32,2,2773,30,2931,6,26,0,29
02-03,15,0,1394,12,1309,5,13,0,13
02-04,13,2,1193,6,1075,1,17,2,7
02-05,9,1,432,4,556,0,5,0,6
02-06,17,1,1256,5,1185,1,20,0,14
03-01,21,3,1854,43,2719,5,23,2,19
03-02,19,1,1233,18,1512,1,9,1,17
04-01,14,5,594,15,1254,8,11,1,21
04-02,14,4,806,22,1667,6,11,0,6
04-03,6,3,545,21,1130,0,11,1,5
04-04,12,4,529,14,1102,1,3,1,10
04-05,26,7,1076,96,2088,2,21,0,17
04-06,8,0,921,19,1816,3,8,1,13
