id,Mike Williams,Robert Morales Vergara,Sean Callan,Toshiba Rice,Write-In,over,under
01-13,126,53,51,950,14,0,309
01-19,221,78,42,779,6,1,124
01-22,375,190,68,2038,23,6,275
01-26,228,103,72,1096,13,3,218
01-28,386,169,152,2125,22,1,566
01-34,147,70,26,760,3,3,178
01-35,211,93,46,1073,8,2,190
01-40,403,217,104,2036,15,3,331
01-50,307,198,77,1511,14,5,239
13-01,783,462,270,2880,64,6,847
17-01,380,190,118,1113,13,3,431
17-02,403,176,132,752,8,3,419
17-03,936,499,309,2878,53,9,1104
17-05,580,345,184,1604,26,6,675
17-06,506,206,158,718,22,1,493
17-07,507,302,122,1744,29,7,389
17-09,429,300,110,1888,24,4,351
17-10,200,126,49,453,11,3,213
17-11,663,444,182,1994,47,3,641
17-12,498,290,148,1487,21,3,546
17-13,850,379,317,2086,42,13,1004
