id,No,Yes,over,under
01-01,414,1175,4,135
01-02,395,1146,1,97
01-03,714,1177,0,115
01-04,325,614,0,51
01-05,398,623,0,70
01-06,580,1755,1,170
01-07,643,1768,1,216
01-07A,36,121,0,40
01-09,285,805,1,49
01-10,461,947,0,54
01-11,1039,1384,1,142
01-12,572,1102,1,85
01-13,347,1089,0,68
01-14,685,2526,1,176
01-15,938,1483,1,239
01-16,856,1694,0,169
01-17,389,538,0,72
01-18,861,1262,0,132
01-19,398,771,0,82
01-20,544,1425,1,140
01-21,1192,2120,1,219
01-22,1121,1687,0,167
01-23,1167,2848,3,657
01-25,174,313,0,33
01-26,501,1134,3,95
01-27,456,1439,0,119
01-28,1029,2184,0,208
01-29,817,1231,2,108
01-30,449,665,0,68
01-31,730,1555,1,244
01-32,708,1310,1,157
01-33,554,1067,0,117
01-34,312,804,1,70
01-35,543,981,0,99
01-36,925,1271,2,169
01-37,670,925,1,105
01-38,675,1085,1,150
01-39,775,1223,1,131
01-40,1102,1808,5,194
01-41,447,1196,0,123
01-42,1173,1261,0,167
01-43,760,1115,2,133
01-44,1060,1757,1,162
01-45,621,821,0,81
01-46,672,1020,1,180
01-47,875,997,0,95
01-48,526,1292,0,95
01-49,823,1425,0,244
01-50,899,1309,3,140
01-51,387,524,0,54
02-01,1226,1625,0,136
02-02,2746,2822,3,258
02-03,1242,1386,1,132
02-04,1104,1096,3,113
02-05,431,532,0,50
02-06,1157,1214,1,127
03-01,2015,2481,1,192
03-02,1251,1417,0,143
04-01,673,1145,0,105
04-02,953,1472,0,111
04-03,622,1029,0,71
04-04,604,994,1,77
04-05,1256,1966,1,110
04-06,1034,1624,0,131
04-07,1171,1317,0,105
04-08,856,1312,0,100
04-09,1088,1328,0,105
04-10,989,1429,0,100
04-11,519,787,0,58
04-12,1045,1399,0,87
04-13,1852,2409,2,139
04-14,598,878,0,54
04-15,877,1256,0,104
04-16,684,1122,1,85
04-17,600,899,1,60
04-18,889,1480,0,116
04-19,644,937,1,31
04-20,1055,1517,0,122
04-21,522,904,1,66
05-01,1442,1817,3,160
05-03,1616,1991,2,177
05-05,2491,3403,2,392
05-06,2016,2592,3,186
05-07,2903,3741,3,374
05-08,1629,2259,2,190
06-04,1636,1954,1,204
06-05,1374,1432,2,148
06-06,2532,3106,3,307
06-07,1429,1601,0,183
06-08,870,1092,1,113
06-10,2308,2618,5,231
06-11,492,642,0,51
06-12,3105,3460,3,309
07-01,486,1031,0,90
07-02,533,822,1,88
