id,Brian K. Lewis,Mark Boone,Reese Wamsley,Write-In,over,under
01-01,179,404,804,16,0,325
01-02,175,517,638,7,0,302
01-03,218,716,586,14,0,472
01-04,103,362,270,7,1,246
01-05,143,397,259,5,0,287
01-06,236,714,984,20,1,551
01-07,310,655,1068,20,2,573
01-07A,49,39,67,1,0,41
01-09,107,323,460,10,0,241
01-10,133,502,469,16,1,341
01-11,287,978,595,22,0,684
01-12,208,601,554,16,0,381
01-13,151,431,616,20,0,286
01-14,369,892,1456,23,2,646
01-15,333,912,775,14,0,627
01-16,364,844,889,25,2,595
01-17,100,417,259,15,0,211
01-18,327,760,746,16,1,405
01-19,301,234,565,6,2,143
01-20,341,484,868,19,1,397
01-21,598,946,1369,29,0,590
01-22,692,524,1431,11,1,316
01-23,587,1146,1829,40,3,1070
01-25,120,106,198,4,1,91
01-26,351,421,710,15,3,233
01-27,265,498,870,17,0,364
01-28,536,875,1439,17,0,554
01-29,236,868,555,13,0,486
01-30,108,444,352,10,1,268
01-31,404,636,987,23,0,480
01-32,329,638,828,11,1,369
01-33,179,597,558,17,1,386
01-34,196,288,523,4,0,176
01-35,389,301,709,8,2,214
01-36,288,887,632,15,1,544
01-37,205,618,488,12,1,377
01-38,259,587,712,15,1,337
01-39,286,648,749,18,2,427
01-40,726,612,1388,10,3,370
01-41,245,465,750,11,0,295
01-42,314,1019,672,29,3,564
01-43,308,625,694,13,3,367
01-44,429,886,1137,16,2,510
01-45,191,561,502,7,0,262
01-46,349,415,789,11,2,307
01-47,208,789,586,15,1,368
01-48,244,545,783,13,1,327
01-49,399,580,1065,21,0,427
01-50,589,433,1033,10,5,281
01-51,114,377,287,2,0,185
02-01,315,1191,806,23,1,651
02-02,613,2387,1532,52,4,1241
02-03,302,1196,632,18,0,613
02-04,249,1002,554,14,1,496
02-05,99,431,257,11,1,214
02-06,251,1134,600,12,0,502
03-01,667,1547,1549,37,3,886
03-02,433,952,832,15,1,578
04-01,231,545,665,20,3,459
04-02,392,747,812,25,1,559
04-03,258,470,610,12,5,367
04-04,235,489,532,11,2,407
04-05,404,1075,1094,28,2,730
04-06,361,874,830,23,1,700
04-07,269,933,665,21,0,705
04-08,318,556,881,19,1,493
04-09,329,775,780,24,3,610
04-10,296,798,822,24,0,578
04-11,195,356,491,14,0,308
04-12,314,781,825,28,0,582
04-13,516,1328,1492,38,3,1025
04-14,208,502,503,18,1,297
04-15,285,698,702,25,0,527
04-16,229,551,679,12,2,419
04-17,198,442,576,22,1,321
04-18,297,692,875,20,2,599
04-19,195,511,564,8,1,333
04-20,369,748,967,36,4,570
04-21,243,391,549,17,1,292
05-01,500,1010,1131,26,0,755
05-03,491,1122,1208,26,0,939
05-05,1009,1772,2202,49,7,1249
05-06,609,1470,1554,27,1,1136
05-07,1205,1797,2566,55,8,1390
05-08,741,1010,1536,40,4,749
06-04,689,1223,1152,29,0,702
06-05,365,1185,739,22,2,643
06-06,830,1888,1934,45,0,1251
06-07,378,1140,1036,17,3,639
06-08,340,672,616,13,0,435
06-10,829,1780,1492,28,3,1030
06-11,206,341,385,10,0,245
06-12,992,2346,2029,34,0,1476
07-01,224,528,568,8,1,278
07-02,165,521,431,16,0,311
07-03,152,519,501,3,1,279
07-04,490,1080,1229,22,0,630
07-05,175,551,613,6,0,277
07-06,370,1375,886,14,3,715
07-07,389,1173,1010,22,3,647
07-07A,59,163,167,1,0,172
07-09,360,948,959,16,1,552
07-10,555,1436,1643,48,2,882
07-11,89,412,365,12,0,200
07-12,298,787,781,20,0,466
07-13,259,675,721,3,0,399
08-02,437,1287,1188,32,3,800
08-03,760,1836,1837,33,0,905
08-04,204,661,434,17,0,395
08-05,216,774,566,12,2,415
08-06,260,479,640,16,0,323
08-07,306,988,562,15,0,560
08-08,514,1499,1213,30,1,780
08-09,242,618,558,9,0,314
08-10,311,861,826,24,4,490
08-11,516,1197,1157,37,1,827
09-01,406,777,426,18,1,475
09-02,662,895,950,32,2,655
09-03,1037,1568,1206,29,3,1056
10-01,223,441,223,15,0,259
10-02,759,1049,1019,45,4,848
10-03,628,789,801,33,0,603
10-05,701,1061,955,30,0,895
10-06,1049,1593,1857,57,2,1358
11-01,669,1520,1795,32,2,1095
11-02,541,1463,1356,21,1,885
12-01,935,2504,1408,58,4,1575
12-02,909,1830,1531,48,1,1103
12-04,812,2173,1214,59,3,1148
12-06,931,2114,1533,53,4,1472
12-07,468,1165,743,20,1,627
12-08,803,1640,1319,43,5,1041
12-09,771,2050,1328,45,1,1159
12-10,596,1779,1379,29,3,922
12-11,444,1243,894,29,3,665
13-01,1009,1215,2207,37,5,839
13-02,239,652,594,14,1,332
13-05,311,497,807,14,0,313
13-06,363,928,882,13,1,489
13-07,406,551,744,14,4,342
13-08,556,612,1138,15,2,394
13-09,746,923,1622,30,3,541
13-10,659,1878,1882,43,4,1013
13-11,375,1104,912,5,1,633
14-01,106,339,154,12,0,188
14-02,926,3203,1696,49,4,1608
15-01,636,1405,942,34,2,870
15-02,816,1906,1597,64,3,1159
15-03,754,1983,1099,40,1,1039
15-04,345,777,529,22,0,439
16-01,527,908,837,18,1,650
16-02,908,968,1671,36,2,672
16-03,266,328,396,12,1,272
16-04,449,771,817,25,4,585
16-05,413,663,649,22,1,491
16-06,182,303,360,12,0,233
16-07,500,952,984,26,2,651
16-09,845,1353,1463,51,4,978
16-10,851,821,1752,29,1,590
16-11,883,899,1546,37,2,729
17-01,378,602,842,11,1,414
17-02,386,488,595,10,1,413
17-03,1087,1496,2115,35,4,1051
17-05,648,940,1261,25,0,546
17-06,457,619,554,19,1,454
17-07,698,656,1283,31,1,431
17-09,727,551,1427,21,1,379
17-10,222,302,371,8,1,151
17-11,817,893,1613,25,4,622
17-12,613,701,1131,21,0,527
17-13,910,1196,1559,31,1,994
17-14,868,1154,1603,56,3,824
17-15,460,630,697,16,2,504
18-01,627,892,1610,33,1,699
18-02,550,1790,1206,31,2,1063
18-03,268,716,641,10,0,476
18-04,570,1505,1177,33,0,843
18-05,585,1772,1470,30,1,1015
18-06,495,908,1360,25,3,678
18-07,492,1412,987,19,2,773
18-08,546,1235,1162,31,0,851
19-03,410,1099,920,41,1,685
19-05,387,1258,789,36,1,799
19-07,744,1662,1371,43,2,1162
19-09,732,1814,1305,43,1,1093
19-11,465,1080,866,35,1,733
19-13,272,605,652,11,2,365
19-14,374,938,877,10,1,523
19-15,377,1039,800,18,1,493
19-16,433,813,794,30,1,484
19-17,794,1283,1903,36,0,760
19-18,591,1295,1061,45,0,846
19-19,961,2578,1770,75,5,1652
19-20,549,1222,976,27,1,701
19-21,724,1524,1491,43,11,988
19-22,434,1055,872,22,1,662
19-23,710,1573,1425,37,0,924
20-01,486,1146,1089,31,0,625
20-03,477,1454,1320,33,1,908
20-04,408,1020,1117,14,3,688
20-05,539,1359,1175,19,2,891
20-06A,727,1526,1622,30,2,945
20-06B,412,1100,1117,32,0,687
20-08,714,1495,1413,39,2,927
20-09,336,851,834,25,1,558
20-10,358,846,1030,28,2,649
20-11,850,1863,1877,47,0,1140
20-12,931,1826,1978,29,1,1081
20-14,1085,2067,2528,26,5,1258
20-15,673,1185,1555,27,2,919
20-16,687,1045,1497,30,0,868
20-17,701,1353,1718,18,2,881
